B0101 B0101,0.0 0.0,0.0 0.0.1,INDIA INDIA,Total Total,10-14 15-19,132709212.0 120526449.0,69418835.0 63982396.0,63290377.0 56544053.0,3244439.0 17703310.0,2033172.0 12721891.0,1211267.0 4981419.0,1542262.0 3054963.0,779362.0 1645507.0,762900.0 1409456.0,2808324.0 9458107.0,1450309.0 5330282.0,1358015.0 4127825.0,1263407.0 6501739.0,726515.0 4165965.0,536892.0 2335774.0,125114187.0 90310069.0,65155992.0 44284716.0,59958195.0 46025353.0,2853891.0 15134928.0,1577333.0 8423500.0,1276558.0 6711428.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,Total,9108060.0,4774477.0,4333583.0,1669814.0,1453157.0,216657.0,429318.0,191925.0,237393.0,1013949.0,566924.0,447025.0,709016.0,466812.0,242204.0,5994979.0,2562471.0,3432508.0,738195.0,296792.0,441403.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,5-9,1109056.0,584994.0,524062.0,5608.0,3224.0,2384.0,6621.0,3362.0,3259.0,10816.0,5557.0,5259.0,4757.0,2527.0,2230.0,1086011.0,572851.0,513160.0,19023.0,10169.0,8854.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,10-14,1097236.0,575511.0,521725.0,12708.0,8235.0,4473.0,27433.0,13709.0,13724.0,29169.0,14310.0,14859.0,17396.0,9475.0,7921.0,1027926.0,539257.0,488669.0,51059.0,26473.0,24586.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,15-19,926108.0,477098.0,449010.0,52092.0,39705.0,12387.0,51860.0,25693.0,26167.0,85297.0,45477.0,39820.0,75221.0,44894.0,30327.0,736859.0,366223.0,370636.0,187499.0,98384.0,89115.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,20-24,827361.0,423292.0,404069.0,161264.0,135551.0,25713.0,61174.0,28314.0,32860.0,142675.0,79802.0,62873.0,124437.0,78895.0,45542.0,462248.0,179625.0,282623.0,188140.0,87841.0,100299.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,25-29,738568.0,385544.0,353024.0,251544.0,218431.0,33113.0,54303.0,22565.0,31738.0,145107.0,80414.0,64693.0,114635.0,73967.0,40668.0,287614.0,64134.0,223480.0,106366.0,36202.0,70164.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,30-34,636137.0,333062.0,303075.0,250752.0,217976.0,32776.0,46426.0,18509.0,27917.0,128408.0,70959.0,57449.0,94772.0,62599.0,32173.0,210551.0,25618.0,184933.0,58617.0,12951.0,45666.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,35-39,568825.0,294268.0,274557.0,231362.0,201105.0,30257.0,41155.0,16085.0,25070.0,115795.0,63180.0,52615.0,80630.0,53690.0,26940.0,180513.0,13898.0,166615.0,40831.0,5826.0,35005.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,40-49,879181.0,462024.0,417157.0,361922.0,320179.0,41743.0,63167.0,24772.0,38395.0,172832.0,94402.0,78430.0,107881.0,74119.0,33762.0,281260.0,22671.0,258589.0,47261.0,6895.0,40366.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,50-59,547487.0,288445.0,259042.0,205864.0,185691.0,20173.0,39116.0,16771.0,22345.0,99783.0,56505.0,43278.0,52260.0,37730.0,14530.0,202724.0,29478.0,173246.0,21142.0,4883.0,16259.0
